EIN_YEAR,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
330217339_2017.0,Crisis House,330217339,2017.0,92020,0,0,0,0,1433825,346726,183702,1780551
330217339_2016.0,Crisis House,330217339,2016.0,92020,0,0,0,0,802795,342525,189186,1145320
330217339_2015.0,Crisis House,330217339,2015.0,92020,0,0,0,0,756702,273265,169610,1029967
330217339_2014.0,Crisis House,330217339,2014.0,92020,0,0,0,0,761869,273527,164026,1035396
330217339_2013.0,Crisis House,330217339,2013.0,0,0,0,0,0,789054,207241,151705,996295
953950196_2021.0,PATH,953950196,2021.0,90004,0,0,2021876,0,102856183,12424824,3290463,117302883
953950196_2020.0,PATH,953950196,2020.0,90004,0,0,2014718,0,90762040,8823906,2984796,101600664
953950196_2019.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2019.0,90004,0,0,1396211,0,65986770,8928718,2559870,76311699
953950196_2018.0,PATH (PEOPLE ASSISTING THE HOMELESS),953950196,2018.0,90004,0,0,1610529,0,31146536,6280302,2590243,39037367
953950196_2017.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2017.0,90004,0,0,1365374,0,27838533,6808261,0,36012168
953950196_2016.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2016.0,90004,0,0,814730,0,24298231,5011062,0,30124023
953950196_2015.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2015.0,90004,0,0,1093424,0,24266426,8493506,0,33853356
953950196_2014.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2014.0,90004,0,0,797711,0,15034116,6112616,0,21944443
953950196_2013.0,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2013.0,0,0,0,890986,0,10971394,3267436,0,15129816
330497515_2021.0,Las Palmas Foundation,330497515,2021.0,92024,0,0,0,0,0,0,0,0
330497515_2020.0,Las Palmas Foundation,330497515,2020.0,92024,0,0,0,0,0,0,0,0
330497515_2019.0,Las Palmas Foundation,330497515,2019.0,92024,0,0,0,0,0,600,0,600
330497515_2018.0,Las Palmas Foundation,330497515,2018.0,92024,0,0,0,0,0,300,0,300
330497515_2017.0,Las Palmas Foundation,330497515,2017.0,92024,0,0,0,0,0,550,0,550
330497515_2016.0,Las Palmas Foundation,330497515,2016.0,92024,0,0,0,0,0,0,0,0
330497515_2015.0,Las Palmas Foundation,330497515,2015.0,92024,0,0,0,0,149000,0,0,149000
330497515_2014.0,Las Palmas Foundation,330497515,2014.0,92024,0,0,0,0,47171,0,0,47171
330497515_2013.0,LAS PALMAS FOUNDATION,330497515,2013.0,0,0,0,0,0,357902,0,0,357902
931008369_2021.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2021.0,92115,0,0,0,0,0,695967,18000,695967
931008369_2020.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2020.0,92115,0,0,0,0,175000,127017,0,302017
931008369_2019.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2019.0,92115,0,0,42454,0,0,101691,0,144145
931008369_2018.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2018.0,92115,0,0,0,0,0,145494,0,145494
931008369_2017.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2017.0,92115,0,0,6304,0,0,82574,0,88878
931008369_2016.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2016.0,92115,0,0,0,0,0,116000,0,116000
931008369_2015.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2015.0,92115,0,0,0,0,0,79620,0,79620
237161267_2021.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2021.0,92082,0,0,0,0,19481149,5513833,142150,24994982
237161267_2020.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2020.0,92082,0,0,0,0,15254349,4040759,83169,19295108
237161267_2019.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2019.0,92082,0,0,0,0,16187588,3801316,109457,19988904
237161267_2018.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2018.0,92082,0,0,0,0,15031002,3433623,159069,18464625
237161267_2017.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2017.0,92082,0,0,0,0,14642740,3301262,142164,17944002
237161267_2016.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2016.0,92082,0,0,0,0,14998644,2860730,138656,17859374
237161267_2015.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2015.0,92082,0,0,0,0,15121712,2746407,137017,17868119
237161267_2014.0,Southern California Tribal Chairmens Association,237161267,2014.0,92082,0,0,0,0,14582040,2690773,136381,17272813
237161267_2013.0,Southern California Tribal Chairmens Association,237161267,2013.0,0,0,0,0,0,14784217,2782242,136516,17566459
953248148_2021.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2021.0,92110,0,0,0,0,74600506,24498,0,74625004
953248148_2020.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2020.0,92110,0,0,0,0,73708400,74747,0,73783147
953248148_2019.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2019.0,92110,0,0,0,0,75268724,49776,0,75318500
953248148_2018.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2018.0,92110,0,0,0,0,67698783,40892,0,67739675
953248148_2017.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2017.0,92110,0,0,0,0,60139803,45233,0,60185036
953248148_2016.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2016.0,92110,0,0,0,0,53517314,36320,0,53553634
953248148_2015.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2015.0,92110,0,0,0,0,47272420,23961,0,47296381
953248148_2014.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2014.0,92110,0,0,0,0,42669457,25407,0,42694864
953248148_2013.0,Community Research Foundation Inc,953248148,2013.0,0,0,0,0,0,0,24777,0,24777
953302967_2021.0,MENTAL HEALTH SYSTEMS INC,953302967,2021.0,92123,0,0,0,0,93554678,271291,0,93825969
953302967_2020.0,MENTAL HEALTH SYSTEMS INC,953302967,2020.0,92123,0,0,0,0,98611907,25197,0,98637104
953302967_2019.0,MENTAL HEALTH SYSTEMS INC,953302967,2019.0,92123,0,0,0,0,90049407,32870,0,90082277
953302967_2018.0,MENTAL HEALTH SYSTEMS INC,953302967,2018.0,92123,0,0,0,0,71062143,77961,0,71140104
953302967_2017.0,MENTAL HEALTH SYSTEMS INC,953302967,2017.0,92123,0,0,0,0,61935444,79120,0,62014564
953302967_2016.0,Mental Health Systems Inc,953302967,2016.0,92123,0,0,0,0,62030562,78628,0,62109190
953302967_2015.0,MENTAL HEALTH SYSTEMS INC,953302967,2015.0,92123,0,0,0,0,67248615,281825,0,67530440
953302967_2014.0,MENTAL HEALTH SYSTEMS INC,953302967,2014.0,92123,0,0,0,0,72132439,267385,0,72399824
953302967_2013.0,MENTAL HEALTH SYSTEMS INC,953302967,2013.0,0,0,0,0,0,0,109691,0,140328
822363154_2021.0,VOICES OF OUR CITY CHOIR INC,822363154,2021.0,92112,0,0,0,0,98522,524278,17583,622800
822363154_2020.0,Voices of Our City Choir Inc,822363154,2020.0,92112,0,0,0,0,70500,330590,0,401090
822363154_2019.0,Voices of Our City Choir Inc,822363154,2019.0,92112,0,0,0,0,0,237154,0,237154
330623634_2021.0,TOWNSPEOPLE,330623634,2021.0,92104,0,0,0,0,1404789,301693,0,1706482
330623634_2020.0,TOWNSPEOPLE,330623634,2020.0,92103,0,0,0,0,1222446,118579,0,1341025
330623634_2019.0,TOWNSPEOPLE,330623634,2019.0,92103,0,0,0,0,1043179,25747,0,1068926
330623634_2018.0,TOWNSPEOPLE,330623634,2018.0,92103,0,0,0,0,830118,128187,0,958305
330623634_2017.0,TOWNSPEOPLE,330623634,2017.0,92103,0,0,0,0,685289,18984,3430,704273
330623634_2016.0,TOWNSPEOPLE,330623634,2016.0,92103,0,0,0,0,732642,14274,0,746916
330623634_2015.0,TOWNSPEOPLE,330623634,2015.0,92103,0,0,0,0,450427,16277,0,466704
330623634_2014.0,TOWNSPEOPLE,330623634,2014.0,92103,0,0,0,0,326207,44853,0,371060
330623634_2013.0,TOWNSPEOPLE,330623634,2013.0,0,0,0,0,0,595951,35474,0,631425
952880426_2021.0,ELDERHELP OF SAN DIEGO,952880426,2021.0,92123,0,0,105366,0,451724,791373,10245,1348463
952880426_2020.0,ELDERHELP OF SAN DIEGO,952880426,2020.0,92123,0,0,109324,0,574130,1219917,37648,1903371
952880426_2019.0,ELDERHELP OF SAN DIEGO,952880426,2019.0,92123,0,0,51009,0,318368,1075276,34594,1444653
952880426_2018.0,ELDERHELP OF SAN DIEGO,952880426,2018.0,92123,0,0,53375,0,313363,762231,37263,1128969
952880426_2016.0,ELDERHELP OF SAN DIEGO,952880426,2016.0,92123,0,0,42430,0,357117,1052228,0,1451775
952880426_2015.0,ELDERHELP OF SAN DIEGO,952880426,2015.0,92123,0,0,40155,0,345108,916212,0,1301475
952880426_2014.0,ELDERHELP OF SAN DIEGO INC,952880426,2014.0,92120,0,0,26324,0,262646,721974,0,1010944
952880426_2013.0,ELDERHELP OF SAN DIEGO INC,952880426,2013.0,0,0,0,41574,0,260872,591028,1890,893474
952833205_2021.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2021.0,92102,0,0,0,0,59753670,14436348,4374735,74190018
952833205_2020.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2020.0,92102,0,0,0,0,49070786,7643862,766795,56714648
952833205_2019.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2019.0,92102,0,0,127428,0,42826769,7746205,0,50700402
952833205_2018.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2018.0,92102,0,0,112377,0,35981688,4781811,0,40875876
952833205_2017.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2017.0,92102,0,0,122474,0,35785124,4490939,0,40398537
952833205_2016.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2016.0,92102,0,0,117163,0,37189601,1889004,0,39195768
952833205_2015.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2015.0,92102,0,0,109028,0,31709294,2030508,206,33848830
952833205_2014.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2014.0,92102,0,0,62739,0,30863316,1834695,0,32760750
952833205_2013.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2013.0,0,0,0,180418,0,33396379,2425663,2425663,36002460
550806460_2022.0,Bilateral Safety Corridor Coalition,550806460,2022.0,91950,0,0,0,0,291440,270209,0,570056
550806460_2021.0,Bilateral Safety Corridor Coalition,550806460,2021.0,91950,0,0,0,0,239763,227448,0,467211
550806460_2020.0,Bilateral Safety Corridor Coalition,550806460,2020.0,91950,0,0,0,0,161068,218547,6000,379615
550806460_2019.0,Bilateral Safety Corridor Coalition,550806460,2019.0,91950,0,0,0,0,0,269047,0,269047
550806460_2018.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2018.0,91950,0,0,0,0,0,297479,0,297479
550806460_2017.0,Bilateral Safety Corridor Coalition,550806460,2017.0,91950,0,0,0,0,171066,159109,0,330175
550806460_2016.0,Bilateral Safety Corridor Coalition,550806460,2016.0,91950,0,0,0,0,188786,236171,0,424957
550806460_2015.0,Bilateral Safety Corridor Coalition,550806460,2015.0,91950,0,0,0,0,159442,117018,0,276460
330215585_2021.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2021.0,92103,0,0,212917,0,20294300,3558897,1630789,24066114
330215585_2020.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2020.0,92103,0,0,145859,0,18162046,3338814,1199956,21646719
330215585_2019.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2019.0,92103,0,0,47749,0,15957289,10930710,1540175,26935748
330215585_2018.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2018.0,92103,0,0,0,0,2476001,14101032,1757375,16577033
330215585_2017.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2017.0,92103,0,0,0,0,1972019,8974475,1743782,10946494
330215585_2016.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2016.0,92103,0,0,0,0,1251303,6178785,1876303,7430088
330215585_2015.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2015.0,92103,0,0,0,0,2827016,2417961,1086372,5244977
330215585_2014.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2014.0,92103,0,0,0,0,4037724,1847458,676252,5885182
330215585_2013.0,ALPHA PROJECT FOR THE HOMELESS,330215585,2013.0,0,0,0,0,0,2065058,4124494,469651,6189552
