,EIN_YEAR,Organization Name,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
472,931008369_2015.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2015.0,92115,0,0,0,0,0,79620,0,79620,79620
473,952213995_2021.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2021.0,92123,4791394,0,0,0,1368458,899021,0,7058873,5690415
474,952213995_2020.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2020.0,92123,5536302,0,108400,0,1403862,742336,0,7790900,6387038
475,952213995_2019.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2019.0,92123,6556292,0,0,0,2803722,1812137,7360,11172151,8368429
476,952213995_2018.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2018.0,92123,7049076,0,70375,0,509810,663710,0,8292971,7783161
477,952213995_2017.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2017.0,92123,7976397,0,0,0,79332,453929,143347,8509658,8430326
478,952213995_2016.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2016.0,92123,11952024,0,107258,0,913342,918225,1833,13890849,12977507
479,952213995_2015.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2015.0,92123,13299476,0,37500,0,901775,754543,10000,14993294,14091519
480,952213995_2014.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2014.0,92123,14528801,0,19500,0,69775,756087,5761,15374163,15304388
481,952213995_2013.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2013.0,0,14649278,0,17000,0,57024,2012161,23815,16735463,16678439
482,562613191_2021.0,STRONG HEARTED NATIVE WOMENS COALITION INC,562613191,2021.0,92082,0,0,0,0,1434028,236674,0,1670702,236674
483,562613191_2020.0,STRONG HEARTED NATIVE WOMENS COALITION INC,562613191,2020.0,92082,0,0,0,0,1025846,45625,0,1071471,45625
484,562613191_2019.0,STRONG HEARTED NATIVE WOMENS COALITION INC,562613191,2019.0,92082,0,0,0,0,921567,26017,0,947584,26017
485,562613191_2018.0,STRONG HEARTED NATIVE WOMENS COALITION INC,562613191,2018.0,92082,0,0,0,0,876189,3574,0,879763,3574
486,562613191_2017.0,STRONG HEARTED NATIVE WOMENS COALITION INC,562613191,2017.0,92082,0,0,0,0,799422,7109,0,806531,7109
487,952422704_2021.0,ACCESS INC,952422704,2021.0,92111,0,0,0,0,2333269,400608,0,2733877,400608
488,952422704_2020.0,ACCESS INC,952422704,2020.0,92111,0,0,0,0,2479269,346767,0,2826036,346767
489,952422704_2019.0,ACCESS,952422704,2019.0,92111,0,0,0,0,3237974,54220,0,3292194,54220
490,952422704_2018.0,ACCESS INC,952422704,2018.0,92111,0,0,0,0,3128388,155665,0,3284053,155665
491,952422704_2017.0,ACCESS INC,952422704,2017.0,92111,0,0,0,0,2983795,229551,0,3213346,229551
492,952422704_2016.0,ACCESS INC,952422704,2016.0,92111,0,0,0,0,3075472,205477,0,3280949,205477
493,952422704_2015.0,ACCESS INC,952422704,2015.0,92111,0,0,0,0,2146844,142987,0,2289831,142987
494,952422704_2014.0,ACCESS INC,952422704,2014.0,92111,0,0,0,0,1945811,158587,0,2104398,158587
495,952422704_2013.0,ACCESS INC,952422704,2013.0,0,0,0,0,0,1846857,11901,0,1858758,11901
496,941676390_2021.0,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2021.0,95814,0,0,0,0,2186940,161051,0,2347991,161051
497,941676390_2020.0,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2020.0,92025,0,0,0,0,2026456,18802,0,2045258,18802
506,330122462_2021.0,NAMI SAN DIEGO,330122462,2021.0,92123,0,0,256845,0,6911240,1564509,1248249,8732594,1821354
507,330122462_2020.0,NAMI SAN DIEGO,330122462,2020.0,92123,0,0,162038,0,6535082,439141,0,7136261,601179
508,330122462_2019.0,NAMI SAN DIEGO,330122462,2019.0,92123,0,0,160382,0,5532949,329605,2415,6022936,489987
509,330122462_2018.0,NAMI SAN DIEGO,330122462,2018.0,92123,0,0,181702,0,5115093,139806,18300,5436601,321508
510,330122462_2017.0,NAMI SAN DIEGO,330122462,2017.0,92123,0,0,142728,0,5085050,133191,0,5360969,275919
511,330122462_2016.0,NAMI SAN DIEGO,330122462,2016.0,92123,0,1702,17201,0,5311923,134460,0,5465286,153363
512,330122462_2015.0,NAMI SAN DIEGO,330122462,2015.0,92123,0,760,17785,0,4623871,255358,0,4897774,273903
513,330122462_2014.0,NAMI SAN DIEGO,330122462,2014.0,92123,0,1618,136342,0,3196819,71894,0,3406673,209854
514,330122462_2013.0,NAMI SAN DIEGO,330122462,2013.0,0,0,1881,153276,0,2117637,59229,0,2332023,214386
515,270447059_2021.0,DREAMS FOR CHANGE INC,270447059,2021.0,92176,0,0,0,0,845519,229074,0,1074593,229074
516,270447059_2020.0,DREAMS FOR CHANGE INC,270447059,2020.0,92176,0,0,0,0,717584,434903,0,1152487,434903
517,270447059_2019.0,DREAMS FOR CHANGE,270447059,2019.0,92176,0,0,0,0,600504,421536,0,1022040,421536
518,270447059_2018.0,DREAMS FOR CHANGE,270447059,2018.0,92176,0,0,0,0,345041,492397,0,837438,492397
519,270447059_2017.0,DREAMS FOR CHANGE,270447059,2017.0,92176,0,0,0,0,13723,589875,0,603598,589875
520,270447059_2016.0,DREAMS FOR CHANGE,270447059,2016.0,92176,0,0,0,0,0,367905,0,367905,367905
521,270447059_2015.0,DREAMS FOR CHANGE,270447059,2015.0,92176,0,0,0,0,0,363988,0,363988,363988
522,270447059_2014.0,DREAMS FOR CHANGE,270447059,2014.0,92176,0,0,0,0,0,206298,0,206298,206298
523,270447059_2013.0,DREAMS FOR CHANGE,270447059,2013.0,0,0,0,0,0,23051,82706,0,105757,82706
524,330210280_2022.0,UPLIFT,330210280,2022.0,92102,0,0,215764,0,0,225374,0,441138,441138
525,330210280_2021.0,UPLIFT,330210280,2021.0,92102,0,0,53708,0,0,192522,30000,246230,246230
526,330210280_2019.0,UPLIFT,330210280,2019.0,92102,0,0,52847,0,0,188329,0,241176,241176
527,822363154_2021.0,VOICES OF OUR CITY CHOIR INC,822363154,2021.0,92112,0,0,0,0,98522,524278,17583,622800,524278
528,822363154_2020.0,VOICES OF OUR CITY CHOIR INC,822363154,2020.0,92112,0,0,0,0,70500,330590,0,401090,330590
529,822363154_2019.0,VOICES OF OUR CITY CHOIR INC,822363154,2019.0,92112,0,0,0,0,0,237154,0,237154,237154
530,953138268_2021.0,HOME START INC,953138268,2021.0,92108,0,0,96200,0,9547671,2417336,49427,12061207,2513536
531,953138268_2020.0,HOME START INC,953138268,2020.0,92108,0,0,148040,0,9010990,1979791,53907,11138821,2127831
532,953138268_2019.0,HOME START INC,953138268,2019.0,92108,0,0,116759,0,6289693,1628594,110061,8035046,1745353
533,953138268_2018.0,HOME START INC,953138268,2018.0,92108,0,0,157560,0,4585241,734168,91413,5476969,891728
534,953138268_2017.0,HOME START INC,953138268,2017.0,92108,0,0,128764,0,4647050,915600,470035,5691414,1044364
535,953138268_2016.0,HOME START INC,953138268,2016.0,92108,0,0,124963,0,4427963,1709373,529998,6262299,1834336
536,953138268_2015.0,HOME START INC,953138268,2015.0,92108,0,0,60824,0,4395128,2181271,650718,6637223,2242095
537,953138268_2014.0,HOME START INC,953138268,2014.0,92108,0,0,0,0,3856122,2530596,504545,6386718,2530596
538,953950196_2021.0,PATH,953950196,2021.0,90004,0,0,2021876,0,102856183,12424824,3290463,117302883,14446700
539,953950196_2020.0,PATH,953950196,2020.0,90004,0,0,2014718,0,90762040,8823906,2984796,101600664,10838624
540,953950196_2019.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2019.0,90004,0,0,1396211,0,65986770,8928718,2559870,76311699,10324929
541,953950196_2018.0,PATH PEOPLE ASSISTING THE HOMELESS,953950196,2018.0,90004,0,0,1610529,0,31146536,6280302,2590243,39037367,7890831
542,953950196_2017.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2017.0,90004,0,0,1365374,0,27838533,6808261,0,36012168,8173635
543,953950196_2016.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2016.0,90004,0,0,814730,0,24298231,5011062,0,30124023,5825792
544,953950196_2015.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2015.0,90004,0,0,1093424,0,24266426,8493506,0,33853356,9586930
545,953950196_2014.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2014.0,90004,0,0,797711,0,15034116,6112616,0,21944443,6910327
546,953950196_2013.0,PEOPLE ASSISTING THE HOMELESS PATH,953950196,2013.0,0,0,0,890986,0,10971394,3267436,0,15129816,4158422
547,952877102_2021.0,OLIVE CREST,952877102,2021.0,92705,0,0,1748370,0,30839048,10756763,1593022,43344181,12505133
548,952877102_2020.0,OLIVE CREST,952877102,2020.0,92705,0,0,1059264,0,23230878,7369758,1305317,31659900,8429022
549,952877102_2019.0,OLIVE CREST,952877102,2019.0,92705,0,0,869676,0,24484051,6938204,1041307,32291931,7807880
550,952877102_2018.0,OLIVE CREST,952877102,2018.0,92705,4000,0,678924,0,23349562,7598041,1550404,31630527,8280965
551,952877102_2017.0,OLIVE CREST,952877102,2017.0,92705,96,0,605500,0,16321385,7943754,1400071,24870735,8549350
552,952877102_2016.0,OLIVE CREST,952877102,2016.0,92705,10864,0,966205,0,15660595,4203032,1888999,20840696,5180101
553,952877102_2015.0,OLIVE CREST,952877102,2015.0,92705,17333,0,797844,0,15325148,5054602,1772273,21194927,5869779
554,952877102_2014.0,OLIVE CREST,952877102,2014.0,92705,67625,0,1129690,0,16073654,3965729,2100567,21236698,5163044
555,952877102_2013.0,OLIVE CREST,952877102,2013.0,0,76600,0,383135,0,15050240,3736113,1293855,19246088,4195848
556,330553621_2021.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2021.0,90275,0,0,0,0,754793,0,0,754793,0
557,330553621_2020.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2020.0,90275,0,0,0,0,784501,0,0,784501,0
558,330553621_2019.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2019.0,90275,0,0,0,0,786788,0,0,786788,0
559,330553621_2018.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2018.0,90275,0,0,0,0,745913,0,0,745913,0
560,330553621_2017.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2017.0,90275,0,0,0,0,712870,0,0,712870,0
561,330553621_2016.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2016.0,90802,0,0,0,0,665873,0,0,665873,0
562,330553621_2015.0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2015.0,90802,0,0,0,0,621388,0,0,621388,0
563,204374795_2021.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2021.0,92121,0,0,349596,0,6327592,87887254,58312927,94564442,88236850
564,204374795_2020.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2020.0,92121,0,0,251384,0,10838132,113522301,80913471,124611817,113773685
565,204374795_2019.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2019.0,92121,0,0,103012,0,5257407,75773240,58281891,81133659,75876252
566,204374795_2018.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2018.0,92121,0,0,316076,0,2593934,48722765,41159936,51632775,49038841
567,204374795_2017.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2017.0,92121,0,0,191553,0,2106601,41309129,35087496,43607283,41500682
568,204374795_2016.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2016.0,92121,0,0,154260,0,1623355,38415684,31883433,40193299,38569944
569,204374795_2015.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2015.0,92121,0,0,117922,0,2175671,31097166,25686164,33390759,31215088
570,204374795_2014.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2014.0,92121,0,0,143289,0,8567254,24065867,25032864,32776410,24209156
571,204374795_2013.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2013.0,0,0,0,131556,0,2230566,30090121,25346991,32452243,30221677
577,571162424_2021.0,KINGDOM CAUSES INC CITY NET BEDROCK CREEK,571162424,2021.0,90807,89250,0,0,0,429733,790394,27870,1309377,879644
578,571162424_2020.0,KINGDOM CAUSES INC CITY NET BEDROCK CREEK,571162424,2020.0,90807,9965,0,0,0,0,487546,139062,497511,497511
579,571162424_2019.0,KINGDOM CAUSES INC,571162424,2019.0,90807,39087,0,0,0,0,1035566,952925,1074653,1074653
580,571162424_2018.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2018.0,90807,0,0,0,0,0,113906,0,113906,113906
581,571162424_2017.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2017.0,90809,0,0,0,0,22500,172350,0,194850,172350
582,571162424_2016.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2016.0,90809,0,0,0,0,45928,100072,0,146000,100072
583,571162424_2015.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2015.0,90809,0,0,0,0,57119,177099,0,234218,177099
584,571162424_2014.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2014.0,90809,0,0,0,10335,269904,449840,0,730079,460175
585,571162424_2013.0,KINGDOM CAUSES INC DBA CITY NET BEDROCK CREEK,571162424,2013.0,0,0,0,0,18375,106888,274500,0,399763,292875
621,331029843_2021.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2021.0,92142,0,0,344110,0,0,813456,0,1157566,1157566
622,331029843_2020.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2020.0,92142,179534,0,457183,0,0,402785,0,1039502,1039502
623,331029843_2019.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2019.0,92142,67806,0,167628,0,0,585432,0,820866,820866
